origin_province,destination_province,COMERCIO,EXPLOTACIÓN DE MINAS Y CANTERAS,TRANSPORTE Y COMUNICACIONES,INDUSTRIA MANUFACTURERA,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",total_tons
Buenos Aires,Buenos Aires,7009.0599999999995,4210969.021,1602.3899999999999,667715.7859999998,1724183.3899999992,6611479.646999999
Buenos Aires,Ciudad Autónoma de Buenos Aires,58.0,155056.03000000003,0.0,0.0,2166.86,157280.89
Buenos Aires,Corrientes,1368.5,39277.0,827.97,8310.0,6544.22,56327.69000000001
Buenos Aires,Córdoba,8315.0,0.0,10314.0,48263.07,2063.85,68955.92
Buenos Aires,Entre Ríos,0.0,600.0,1.0,0.0,100.0,701.0
Buenos Aires,La Pampa,0.0,0.0,0.0,0.0,2118.88,2118.88
Buenos Aires,Mendoza,864.5,3650.0,4196.219999999999,43332.240000000005,53.36,52096.32000000001
Buenos Aires,Neuquén,0.0,73167.94200000001,0.0,7101.759000000001,0.0,80269.701
Buenos Aires,Río Negro,912.3199999999999,32049.679999999997,0.0,8600.0,115015.0,156577.0
Buenos Aires,San Luis,0.0,0.0,58.2,917.9,343.5,1319.6
Buenos Aires,Santa Fe,19.0,16355.86,5119.39,47591.880000000005,687420.1900000001,756506.3200000001
Buenos Aires,Tucumán,796.0,0.0,6570.0,0.0,0.0,7366.0
Catamarca,Salta,0.0,1440.0,0.0,0.0,0.0,1440.0
Catamarca,Santa Fe,0.0,0.0,0.0,0.0,10691.0,10691.0
Chaco,Chaco,0.0,0.0,0.0,61.0,0.0,61.0
Chaco,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,390.0,15232.0,15622.0
Chaco,Jujuy,0.0,0.0,0.0,17010.0,0.0,17010.0
Chaco,La Rioja,0.0,0.0,0.0,768.0,0.0,768.0
Chaco,Salta,0.0,0.0,0.0,815.0,0.0,815.0
Chaco,Santa Fe,0.0,0.0,0.0,0.0,301132.0,301132.0
Ciudad Autónoma de Buenos Aires,Buenos Aires,9201.0,0.0,0.0,46077.04,0.0,55278.04
Ciudad Autónoma de Buenos Aires,Chaco,0.0,0.0,0.0,17875.0,0.0,17875.0
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,300.0,0.0,300.0
Ciudad Autónoma de Buenos Aires,Córdoba,4121.22,0.0,4032.0,6944.0,0.0,15097.22
Ciudad Autónoma de Buenos Aires,Jujuy,0.0,0.0,0.0,6025.0,0.0,6025.0
Ciudad Autónoma de Buenos Aires,Río Negro,16775.0,97576.76800000001,0.0,0.0,950.0,115301.768
Ciudad Autónoma de Buenos Aires,Salta,0.0,0.0,0.0,5947.0,0.0,5947.0
Ciudad Autónoma de Buenos Aires,Santa Fe,0.0,0.0,2132.0,6531.08,2166.8599999999997,10829.94
Ciudad Autónoma de Buenos Aires,Santiago del Estero,0.0,0.0,0.0,644.0,0.0,644.0
Ciudad Autónoma de Buenos Aires,Tucumán,0.0,0.0,1176.0,675.0,0.0,1851.0
Corrientes,Buenos Aires,246.0,62979.0,654.9799999999999,1349.9,293.0,65522.88
Corrientes,Corrientes,1328.5,95682.86,337.46,3022.0,8211.41,108582.23
Corrientes,Entre Ríos,0.0,200.0,2822.0,0.0,11700.0,14722.0
Corrientes,Misiones,0.0,0.0,273.36,8072.0,0.0,8345.36
Córdoba,Buenos Aires,98172.0,165007.27000000002,48.0,150392.88999999998,156061.55000000002,569681.7099999997
Córdoba,Ciudad Autónoma de Buenos Aires,29460.0,0.0,14.0,7524.0,0.0,36998.0
Córdoba,Córdoba,0.0,2953.16,0.0,0.0,224617.78000000003,227570.94000000006
Córdoba,Mendoza,17.0,0.0,100.0,211.2,0.0,328.2
Córdoba,Salta,0.0,0.0,0.0,60.0,0.0,60.0
Córdoba,San Luis,0.0,850.86,60.55,25.0,0.0,936.4100000000001
Córdoba,Santa Fe,0.0,48720.4,5.0,27386.289999999997,3267648.5199999986,3343760.2099999986
Entre Ríos,Buenos Aires,50.0,575.0,29.02,0.0,0.0,654.02
Entre Ríos,Corrientes,12.0,1150.0,229.0,2736.0,800.0,4927.0
Entre Ríos,Entre Ríos,0.0,5212.0,325.02,544.0,10020.0,16101.02
Jujuy,Chaco,0.0,0.0,0.0,33822.0,0.0,33822.0
Jujuy,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,0.0,48336.0,48336.0
Jujuy,Mendoza,0.0,0.0,0.0,0.0,4059.0,4059.0
Jujuy,Santa Fe,0.0,0.0,0.0,0.0,1579.0,1579.0
Jujuy,Tucumán,0.0,0.0,0.0,33741.0,0.0,33741.0
La Pampa,Buenos Aires,0.0,0.0,0.0,0.0,576946.72,576946.72
La Pampa,Santa Fe,0.0,0.0,0.0,0.0,135013.06000000003,135013.06000000003
Mendoza,Buenos Aires,1800.2600000000002,548675.6900000001,3006.37,70337.08999999997,396.86,624216.27
Mendoza,Mendoza,0.0,186807.00999999992,1613.51,18265.0,0.0,206685.51999999993
Mendoza,Salta,0.0,0.0,0.0,3579.0,0.0,3579.0
Mendoza,San Juan,0.0,104700.0,493.2,0.0,0.0,105193.2
Mendoza,Santa Fe,0.0,982.9000000000001,0.0,19450.0,0.0,20432.9
Misiones,Buenos Aires,0.0,0.0,5.0,0.0,0.0,5.0
Misiones,Corrientes,0.0,0.0,367.0,524.7,1950.0,2841.7
Misiones,Misiones,0.0,0.0,0.0,1184.0,0.0,1184.0
Neuquén,Buenos Aires,0.0,16305.0,0.0,0.0,0.0,16305.0
Río Negro,Buenos Aires,125.0,94594.88999999996,2140.0,7850.0,1450.0,106159.88999999996
Salta,Buenos Aires,0.0,0.0,0.0,1811.0,1040.0,2851.0
Salta,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,0.0,3383.0,3383.0
Salta,Salta,0.0,0.0,0.0,780.0,0.0,780.0
Salta,Santa Fe,0.0,0.0,0.0,150.0,81182.0,81332.0
Salta,Santiago del Estero,0.0,0.0,0.0,0.0,13933.0,13933.0
San Juan,Mendoza,0.0,356626.29000000004,38.0,0.0,0.0,356664.29000000004
San Juan,San Juan,0.0,147065.25999999998,549.2,0.0,0.0,147614.46
San Luis,Buenos Aires,5198.07,104000.0,407.69,0.0,0.0,109605.76000000001
San Luis,Córdoba,0.0,2250.0,50.55,0.0,4379.4,6679.95
San Luis,Mendoza,0.0,3950.0,0.0,0.0,0.0,3950.0
San Luis,San Luis,5757.1799999999985,0.0,8.2,10436.0,14163.960000000003,30365.34
San Luis,Santa Fe,0.0,5400.0,2409.5,0.0,87583.5,95392.99999999999
Santa Fe,Buenos Aires,36985.0,28418.48,336.49,21750.0,3454.12,90944.09
Santa Fe,Chaco,0.0,0.0,0.0,1351.0,0.0,1351.0
Santa Fe,Ciudad Autónoma de Buenos Aires,11136.0,0.0,0.0,0.0,0.0,11136.0
Santa Fe,Córdoba,0.0,750.0,69.0,0.0,47281.39000000001,48100.39000000001
Santa Fe,Mendoza,0.0,1800.0,506.0,0.0,0.0,2306.0
Santa Fe,San Luis,0.0,0.0,32.0,0.0,52.0,84.0
Santa Fe,Santa Fe,0.0,12559.100000000002,2291.38,47744.509999999995,2610257.0500000003,2672852.0400000005
Santa Fe,Tucumán,26.6,2188.0,323.65999999999997,0.0,0.0,2538.2599999999998
Santiago del Estero,Santa Fe,0.0,0.0,0.0,2538.0,684237.13,686775.13
Tucumán,Buenos Aires,78125.0,0.0,0.0,0.0,21041.660000000003,99166.65999999999
Tucumán,Ciudad Autónoma de Buenos Aires,6096.5,0.0,0.0,3169.99,701.0,9967.49
Tucumán,Santa Fe,3205.0,260378.66000000003,0.0,11644.579999999998,850327.0999999996,1125555.3399999996
Tucumán,Santiago del Estero,118.0,0.0,0.0,0.0,0.0,118.0
